,seed,acc_train_after,auc_train_after,acc_test_after,auc_test_after
0,0,0.5190621425848265,0.7099510535921685,0.2171799027552674,0.5574661508704062
0,1,0.5301732343422806,0.6958175313892785,0.19836065573770492,0.6041160019455253
0,2,0.5318380536019768,0.6829779554419266,0.18438538205980065,0.5923416820237895
0,3,0.514518884038717,0.6895036472693681,0.17845117845117844,0.5193231922398589
0,4,0.5347735455751373,0.7023246536400817,0.17406143344709898,0.5304215099213339
0,5,0.5277409581518652,0.7053644432608651,0.17525773195876287,0.5477702392737283
0,6,0.5286443562110039,0.6859160615033918,0.20905923344947736,0.5215764863059451
0,7,0.5241874527588813,0.7030933470390173,0.21541155866900175,0.5723666322257872
0,8,0.21442053605134012,0.6026305241280048,0.184070796460177,0.5635085818555055
0,9,0.5065082059988681,0.7070678737866755,0.22419928825622776,0.5781504065040651
