,0
acc_test_after,0.10278232405891981
acc_train_after,0.9620417305198633
auc_test_after,0.5482542819499341
auc_train_after,0.9839427160659514
seed,0.0
acc_test_after,0.1267418712674187
acc_train_after,0.9641642371234208
auc_test_after,0.48680648271769766
auc_train_after,0.9885793098163916
seed,1.0
acc_test_after,0.09207853757616791
acc_train_after,0.9048949350176121
auc_test_after,0.6442154859218893
auc_train_after,0.9565730161147135
seed,2.0
acc_test_after,0.13107968264918937
acc_train_after,0.9636871508379888
auc_test_after,0.477987967141039
auc_train_after,0.9852326654741979
seed,3.0
acc_test_after,0.13567662565905098
acc_train_after,0.9610153024046636
auc_test_after,0.41926070038910507
auc_train_after,0.9918206087719231
seed,4.0
acc_test_after,0.13485551195148054
acc_train_after,0.9660029140359397
auc_test_after,0.5620486734490325
auc_train_after,0.9891323806186901
seed,5.0
acc_test_after,0.12975715839072127
acc_train_after,0.9662498482457206
auc_test_after,0.39387490372532324
auc_train_after,0.9938921725813012
seed,6.0
acc_test_after,0.14201618837380428
acc_train_after,0.9663794149775459
auc_test_after,0.5130555555555556
auc_train_after,0.9938965747899255
seed,7.0
acc_test_after,0.13378176382660686
acc_train_after,0.9638393398859362
auc_test_after,0.6909016804614999
auc_train_after,0.9874967591454286
seed,8.0
acc_test_after,0.1466565349544073
acc_train_after,0.9602086618949411
auc_test_after,0.6758586245005525
auc_train_after,0.9921696184927753
seed,9.0
